symbol,name,price
UBU5.DE,UBS (Irl) ETF plc - MSCI USA Value UCITS ETF,100.5400
LCHI.F,Lyxor MSCI China ESG Leaders Extra (DR) UCITS ETF,83.5900
HYLD.L,iShares Global High Yield Corp Bond UCITS ETF,91.5150
JPUS,JPMorgan Diversified Return U.S. Equity ETF,119.1060
IEF,iShares 7-10 Year Treasury Bond ETF,94.4000
XSC.TO,iShares Conservative Short Term Strategic Fixed Inc ETF,17.8700
CSBGC0.SW,iShares Swiss Domestic Government Bond 7-15 ETF,103.7450
IYM,iShares U.S. Basic Materials ETF,144.6200
RAA,SMI 3Fourteen REAL Asset Allocation ETF,25.8750
DMRM,DeltaShares S&P 400 Managed Risk ETF,55.2224
